visit_id,confirm_count,start_count,step_1_count,step_2_count,step_3_count,confirm_time,start_time,step_1_time,step_2_time,step_3_time,client_id,visitor_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
400436362_30138881526_48067,0,1,0,0,0,0.0,145.0,0.0,0.0,0.0,7656563,338815515_25385437429,14.0,179.0,70.0,F,2.0,58147.3,2.0,5.0
400705390_65403969998_624005,0,1,1,5,4,0.0,7.0,97.0,63.6,44.0,7756202,998242503_10529039565,20.0,250.0,28.0,M,2.0,24090.25,0.0,3.0
400718203_7695559146_114278,0,2,0,0,0,0.0,532.0,0.0,0.0,0.0,4485744,342291347_36413340791,16.0,192.0,73.0,M,2.0,32015.75,5.0,8.0
400813653_72233884203_714598,0,1,0,0,0,0.0,224.0,0.0,0.0,0.0,3342556,80318224_60851726076,10.0,127.0,68.0,F,2.0,268687.2,6.0,9.0
400876315_6856665786_137314,0,1,1,0,0,0.0,17.0,19.0,0.0,0.0,4342517,175078023_20887522367,3.0,38.0,39.0,F,2.0,25277.46,5.0,8.0
400887852_19238907908_632730,0,2,2,1,2,0.0,27.0,104.5,124.0,88.5,8099995,258907790_97281138544,15.0,189.0,33.5,F,3.0,88423.70999999999,3.0,6.0
400919430_52952588069_26646,0,1,0,0,0,0.0,47.0,0.0,0.0,0.0,4999651,497384185_71761031285,6.0,82.0,29.0,U,2.0,55323.95,3.0,6.0
400939125_86741774006_838323,0,0,0,0,1,0.0,0.0,0.0,0.0,29.0,8492978,615734896_64753434231,13.0,156.0,43.0,M,4.0,322213.78,1.0,4.0
400957728_93946154238_858090,0,1,1,1,1,0.0,26.0,81.0,38.0,89.0,5009485,326419876_20591049898,15.0,184.0,51.5,F,3.0,46711.24,2.0,5.0
400960041_98135207719_604302,0,2,1,2,0,0.0,39.5,37.0,34.0,0.0,4249811,693356742_28662752635,6.0,77.0,23.0,U,2.0,35173.68,3.0,6.0
400986550_93302028669_230916,0,5,0,0,0,0.0,64.8,0.0,0.0,0.0,5601303,901858176_53925558936,9.0,109.0,30.0,F,2.0,47214.71,1.0,4.0
400988206_5779330747_584701,0,1,1,1,1,0.0,21.0,89.0,190.0,79.0,5913950,539286610_30136912506,17.0,204.0,54.5,M,2.0,26429.3,0.0,3.0
401067157_13005755805_691454,0,1,1,1,1,0.0,41.0,71.0,108.0,80.0,2878339,505797241_61464450176,21.0,262.0,46.5,M,3.0,131956.0,6.0,9.0
40108909_77497410695_656707,0,1,2,1,1,0.0,7.0,19.5,62.0,26.0,677548,515359840_57407874284,5.0,68.0,20.0,U,3.0,42450.99,5.0,8.0
401116288_58557677620_257346,0,1,1,1,1,0.0,9.0,76.0,30.0,41.0,3460741,452432260_19187970809,24.0,290.0,57.5,M,2.0,81575.6,5.0,8.0
401131872_56516955191_623868,0,1,1,1,1,0.0,4.0,10.0,19.0,69.0,512432,456686664_949486154,12.0,150.0,53.0,M,2.0,206941.24,2.0,5.0
401198041_84187907017_554724,0,1,0,0,0,0.0,6.0,0.0,0.0,0.0,1118533,999670568_58336189268,9.0,117.0,58.5,F,2.0,28314.57,6.0,9.0
401257064_4280519819_951883,0,1,1,1,1,0.0,7.0,4.0,56.0,51.0,1991753,922970107_87069661259,6.0,73.0,32.5,U,2.0,54133.8,5.0,8.0
401267789_50442151970_397616,0,1,1,1,1,0.0,58.0,51.0,91.0,514.0,896369,871962142_79462928422,12.0,154.0,31.5,M,2.0,135637.47999999998,6.0,9.0
40140882_12308658366_429667,0,1,0,0,0,0.0,14.0,0.0,0.0,0.0,2639289,119436439_406611897,21.0,253.0,43.0,M,2.0,27620.45,6.0,9.0
401438100_80487154987_868938,0,1,1,1,1,0.0,12.0,8.0,61.0,123.0,8382884,168573263_67492074700,3.0,39.0,58.5,U,2.0,175033.3,6.0,9.0
401461305_12851015024_101917,0,1,1,0,0,0.0,9.0,14.0,0.0,0.0,8154299,510837891_523301039,4.0,56.0,50.5,M,3.0,29501.11,3.0,6.0
401466961_99060398422_451812,0,1,1,1,0,0.0,124.0,21.0,743.0,0.0,1031601,945626787_81708610547,11.0,143.0,50.0,U,2.0,72498.57,0.0,3.0
401517072_63470863234_933710,0,1,1,2,3,0.0,552.0,48.0,32.0,139.33333333333334,7723642,993380094_43726469575,10.0,130.0,51.5,F,2.0,154542.87,4.0,7.0
401674053_43063426296_294666,0,1,0,0,0,0.0,6.0,0.0,0.0,0.0,8087799,443192369_42214250005,28.0,337.0,66.5,F,2.0,164622.65000000002,3.0,6.0
401690788_42183140491_131454,0,1,1,2,2,0.0,66.0,24.0,51.0,317.5,4703735,738406861_25614590844,8.0,103.0,65.5,U,2.0,166159.43,6.0,9.0
401701816_31072757023_430888,0,1,0,0,0,0.0,9.0,0.0,0.0,0.0,5541811,292773600_92504478634,6.0,77.0,28.0,U,2.0,72841.65,6.0,9.0
